Altium Designer Pick and Place Locations
D:\It's_work\Scope\Scope_evtA\Project Outputs for Scope_evtA\Pick Place Output\Pick Place for EVT_A(Solder_ADC).txt

========================================================================================================================
File Design Information:

Date:       06/04/24
Time:       22:52
Revision:   96a065bc237926ecf34b901cf5ad457e30612ea3
Variant:    Solder_ADC
Units used: mil

Designator Comment            Layer       Footprint       Center-X(mil) Center-Y(mil) Rotation Description                                                                                                
C14        0.1u               BottomLayer C0603           283.464       555.118       90       "100V 100nF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
"                             
C13        0.1u               BottomLayer C0603           594.488       366.142       180      "100V 100nF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
"                             
C12        4.7uF              BottomLayer C0603           740.158       468.504       0        "16V 4.7uF X7S ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"                                
R10        10k                BottomLayer R0603           448.819       555.118       90       "100mW Thick Film Resistors 75V ±5% 10kO 0603 Chip Resistor - Surface Mount ROHS
"                        
R9         20k                BottomLayer R0603           370.079       555.118       270      "100mW Thick Film Resistors 75V ±5% 20kO 0603 Chip Resistor - Surface Mount ROHS
"                        
R18        "22 R"             TopLayer    R0603           996.063       1287.402      0        "Res SMD
"                                                                                                
R16        "22 R"             TopLayer    R0603           996.063       1374.016      0        "Res SMD
"                                                                                                
R15        1.5k               TopLayer    R0603           625.984       1377.953      0        "Thick Film Resistors - SMD 0402 1K0 0.5%
"                                                               
VD3        TPD2EUSB30ADRTR    BottomLayer SOT-9X3         657.480       1378.445      180      "ESD Suppressors / TVS Diodes 2 Channel ESD/ Surge Solution"                                               
VD5        WS2812C            TopLayer    SMD5050         118.110       787.402       270      "RGB SMD5050 Light Emitting Diodes (LED) ROHS"                                                             
R40        10k                BottomLayer R0603           1598.425      145.669       180      "100mW Thick Film Resistors 75V ±5% 10kO 0603 Chip Resistor - Surface Mount ROHS
"                        
R36        10k                TopLayer    R0603           1358.268      1527.559      0        "100mW Thick Film Resistors 75V ±5% 10kO 0603 Chip Resistor - Surface Mount ROHS
"                        
R26        100R               TopLayer    R0603           645.669       192.913       0        "100mW Thick Film Resistors 75V ±100ppm/? ±5% 100O 0603 Chip Resistor - Surface Mount ROHS
"              
R50        "22 R"             TopLayer    R0603           1566.929      374.016       180      "Res SMD
"                                                                                                
R23        10k                TopLayer    R0603           149.606       275.591       180      "100mW Thick Film Resistors 75V ±5% 10kO 0603 Chip Resistor - Surface Mount ROHS
"                        
R49        "22 R"             TopLayer    R0603           1566.929      236.220       180      "Res SMD
"                                                                                                
R30        "22 R"             TopLayer    R0603           1704.724      1153.543      0        "Res SMD
"                                                                                                
DA3        AD9245BCPZ-20      TopLayer    LFCSP-32_AD9245 1440.945      1352.362      90       "Analog to Digital Converters - ADC 14-Bit, 20 MSPS/40 MSPS/65 MSPS/80 MSPS 3 V A/D Converter"             
C67        4.7uF              TopLayer    C0603           1066.929      1527.559      180      "16V 4.7uF X7S ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"                                
C50        0.1u               TopLayer    C0603           791.339       1488.189      270      "100V 100nF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
"                             
C49        1u                 BottomLayer C0603           870.079       1480.315      270      "25V 1uF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
"                                
C48        0.1u               TopLayer    C0603           870.079       1488.189      270      "100V 100nF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
"                             
C47        0.1u               TopLayer    C0603           948.819       1488.189      270      "100V 100nF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
"                             
C46        1u                 BottomLayer C0603           948.819       1480.315      270      "25V 1uF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
"                                
C45        390p               TopLayer    C0603           311.024       992.126       180      "50V 390pF C0G ±5% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
"                               
C44        0.1u               TopLayer    C0603           578.740       960.630       0        "100V 100nF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
"                             
C43        4.7uF              TopLayer    C0603           578.740       881.890       0        "16V 4.7uF X7S ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"                                
C61        0.1u               TopLayer    C0603           1220.472      1208.661      0        "100V 100nF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
"                             
C60        0.1u               TopLayer    C0603           1220.472      1448.819      0        "100V 100nF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
"                             
C59        1u                 BottomLayer C0603           1177.165      1480.315      270      "25V 1uF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
"                                
